A;;;AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA
;;;Excluye: La fabricación de mueble de cerámica, hormigón y piedra se incluye en las clases 3091 (Fabricación de productos de cerámica no refractaria para uso no estructural), 3195 (Fabricación de artículos de hormigón, cemento y  yeso ) y 3099 (Fabricación de otros productos minerales no metálicos n.c.p.), respectivamente. 
;;;La   fabricación de lámparas y accesorios para  iluminación se incluye en  la clase 3530 (Fabricación de alambres y cables aislados).
;;; La fabricación de muebles para medicina, cirugía, odontología y veterinaria se incluye en la clase 3711 (Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos).
;;3920;Fabricación de instrumentos musicales
;;;Esta clase incluye la fabricación y reparación  de :
;;;- Instrumentos de cuerda provistos de teclado, incluso pianolas y otros instrumentos de cuerda.
;;;- Órganos de tubos y teclado, y armonios e instrumentos de teclado similares con lengüetas metálicas libres.
;;;- Acordeones e instrumentos similares, incluso armónicas.
;;;- Instrumentos de viento, incluso instrumentos de viento elaborados de madera y bronce.
;;;- Instrumentos musicales de percusión, tales como tambores, xilófono y castañuelas.
;;;- Instrumentos musicales cuyo sonido se produce electrónicamente o debe amplificarse eléctricamente.
;;;- Cajas de música, organillos, pájaros cantores mecánicos, sierras musicales y otros instrumentos no clasificados en otra parte.
;;;- Silbatos, cuernos de llamada y otros instrumentos sonoros de boca para llamados.
;;;- Partes, piezas y accesorios de instrumentos, incluso metrónomos, diapasones de percusión y de boca y tarjetas, discos y rollos para instrumentos mecánicos.
;;;Excluye: La fabricación de micrófonos, altavoces, auriculares y artículos similares se incluye en la clase 3630 (Fabricación de receptores de radio, televisión y otros ).
;;; La fabricación de instrumentos de juguete se incluyen en la clase 3940 (Fabricación de juegos y juguetes)
;;3930;Fabricación de artículos deportivos
;;;En esta clase se incluye la fabricación y reparación de :
;;;- Artículos y equipos para gimnasia, atletismo, juegos al aire libre y bajo techo, piscinas de natación y pistas de remo.
;;;- Balones duros, blandos e inflables.
;;;- Raquetas, bates y mazos.
;;;- Artículos para la pesca deportiva, incluso salabres.
;;;- Artículos para la caza y otras actividades deportivas.
;;;- Guantes y cubrecabezas protectores para deporte.
;;;Excluye: La fabricación de velas de barco se incluye en la clase 1921 (Fabricación de productos textiles).
;;;La fabricación de prendas deportivas se incluye en la clase 2010 (Fabricación de prendas de vestir, excepto prendas de piel).
;;;La fabricación de monturas y arneses se incluyen en la clase 2112 (Fabricación de artículos de cuero y de piel).
;;;La fabricación de calzado deportivo se incluye en la clase 2120 (Fabricación de calzado).
;;;La fabricación de armas se incluye en la clase 3429 (Fabricación de otros tipos de maquinaria para uso especial).
;;;La fabricación de vehículos deportivos, excepto toboganes y vehículos  similares y de embarcaciones, se incluye en las clases pertinentes de la división 38 (Fabricación de equipos de transporte).
;;;La fabricación de embarcaciones se incluye en la clase 3840 (Construcción y reparación de buques)
;;;La fabricación de mesas de billar y equipo de juego de bolos se incluye en la clase 3940 (Fabricación de juegos y juguetes).
;;;La fabricación de látigos y fustas se incluye en la clase 3990 (Otras industrias manufactureras n.c.p.)
;;3940;Fabricación de juegos y juguetes
;;;En esta clase se incluye la fabricación de:
;;;- Muñecos que representan a personas y otras criaturas, y ropa y accesorios para muñecos.
;;;- Juguetes de montar con rueda (incluido los triciclos, pero no las bicicletas).
;;;- Instrumentos musicales de juguete.
;;;- Artículos para juegos de feria, de mesa y de salón, incluso mesas de ping pong, mesas de billar y equipos automáticos para juego de bolos.
;;;- Juegos electrónicos. 
;;;- Modelos a escala reducida y modelos recreativos similares, sean o no susceptibles de accionamiento  rompecabezas de todo tipo  otros juguetes.
;;;Excluye: La fabricación de bicicletas de niños se incluye en la clase 3870 (Fabricación de  bicicletas).
;;3950;Reciclamiento de desperdicios y desechos metálicos 
;;;Esta clase abarca el procesamiento de desperdicios y desechos metálicos y de artículos de metal, usados o no, para obtener un producto que se puede transformar fácilmente en nuevas materias primas. Por lo general, tanto el material reciclable como el material reciclado consisten en desperdicios y desechos metálicos  la diferencia entre ambos es que el material reciclable, esté o no clasificado, no se puede utilizar directamente en un proceso industrial, mientras que el material reciclado puede ser procesado nuevamente y, por lo tanto, se le debe considerar como un producto intermedio.
;;;"El reciclamiento requiere un proceso básicamente ""industrial"", ya sea físico o químico."
;;;El producto característico de esta actividad está constituido por desperdicios y desechos metálicos  no obstante, de hecho esos desperdicios y desechos forman parte de la producción tradicional de todas las industrias que fabrican metales, productos metálicos, maquinaria y equipo.
;;;Excluye: La fabricación de nuevas materias primas a partir de desperdicios y desechos metálicos se incluye en la clase pertinente de la división 32 (Fabricación de metales comunes). La venta al por mayor de desperdicios y desechos metálicos se incluye en la división 50 (Venta, mantenimiento y reparación de vehículos automotores  venta de combustible para vehículos automotores) y puede abarcar las actividades de recolección,  clasificación, empaque, compraventa, etc., que no requieren un  proceso industrial.
;;;El comercio al por mayor y al por menor de artículos usados se incluye en la división 50 (Venta, mantenimiento y reparación de vehículos automotores  venta de combustible para vehículos automotores),  la división 51 (Comercio mayorista y  en comisión), y la clase 5340 (Venta minorista de artículos usados), respectivamente.
;;3960;Reciclamiento de desperdicios y desechos  no metálicos
;;;En esta clase se incluye mutatis mutandis  los mismos tipos de actividades que los de la clase 3950 (Recuperación de desperdicios y desechos metálicos).
;;;El proceso de reciclamiento no debe formar parte del procesamiento del producto para obtener nuevas materias primas ni llevarse a cabo en la unidad dedicada a tal procesamiento  de ser así, todo el proceso debe incluirse en la clase correspondiente a dicho procesamiento a dicha unidad.
;;;Los productos característicos de esta clase pueden ser de una gran variedad y ser típicos asimismo de muchas otras industrias.
;;;Excluye: El tratamiento de desechos de comidas, bebidas y tabaco se incluye en la clase correspondiente de las divisiones 15, 17 y 18 (Elaboración de productos alimenticios  Elaboración de bebidas y Elaboración de productos de tabaco), respectivamente.
;;;La elaboración de nuevos materiales y productos utilizando desperdicios y desechos como materia prima, tales como la fabricación de hilados a partir de hilachas, la fabricación de papel y el recauchado de cubiertas se incluye en la clase pertinente de industria manufacturera, a saber, en las clases 1911 (Preparación y elaboración de hilazas  tejidos planos)  2301 (Fabricación de pulpa de madera, papel y cartón) y 2910 (Fabricación de neumáticos y cámaras  recapado).
;;;La venta al por mayor de desperdicios y deshechos no metálicos se incluye en la división 51 (Comercio mayorista y en comisión excepto el comercio de vehículos automotores y motocicletas) y pueden abarcar las actividades de recolección, clasificación, empaque, compraventa, etc. que no requieren un proceso industrial.
;;;La venta al por mayor y al por menor de artículos usados se incluye en la división 50 (Venta, mantenimiento y reparación de vehículos automotores, venta de combustible para vehículos automotores) y la clase 5340 (Venta minorista de artículos usados), respectivamente.
;;3990;Otras industrias manufactureras n.c.p. 
;;;En esta clase se incluye la producción de perlas labradas, es decir, perlas que han sido pulidas para eliminar defectos, taladradas y cortadas.
;;;Producción de piedras preciosas y semipreciosas labradas sintéticas o reconstruidas (incluso diamantes), es decir, piedras no sólo cortadas, limpias y desbastadas, sino también trabajadas..
;;;Fabricación de:
;;;- Joyas y otros artículos de metales  preciosos o enchapados.
;;;- Artículos de orfebrería elaborados con metales preciosos: cubiertos, vajillas, recipientes de mesa, artículos de tocador, artículos estacionarios de uso religioso, etc.
;;;- Partes y piezas de joyas y de artículos de orfebrería
;;;- Artículos de uso técnico y de laboratorio elaborados con metales preciosos (excepto instrumentos y piezas de instrumentos): crisoles, copelas, espátulas, rejillas de alambre de platino para su uso como catalizadores, ánodos de galvanoplastia.
;;;- Monedas (incluso monedas de curso legal, otras monedas, medallas y medallones, sean o no de metales preciosos
;;;También incluye la fabricación de:
;;;- Pizarras y tableros.
;;;- Plumas, portaminas y sus partes y lápices de toda clase.
;;;- Sellos para fechar, cerrar y numerar (incluso aparatos manuales para imprimir y estampar membretes en relieve y juegos para imponer a mano
;;;- Cintas preparadas para máquinas de escribir y almohadillas entintadas.
;;;- Cochecitos para niños.
;;;- Paraguas, sombrillas, bastones comunes y con asiento, látigos, fustas, botones, broches de presión, corchetes de presión y cierres de cremallera.
;;;- Encendedores de cigarrillos, sean o no mecánicos o electrónicos
;;;- Artículos de uso personal: pipas. peines, pasadores para el pelo y artículos similares, vaporizadores de perfume  termos y otros recipientes herméticos para uso personal y doméstico  artículos confeccionados con cabello (pelucas, barbas y cejas postizas).
;;;- Escobas y cepillos (incluso escobillas para máquinas)  barredores mecánicos de manejo manual   plumeros  almohadillas y rodillos para pintura  escurridores, etc.
;;;- Tiovivos, columpios, barracas de tiro al blanco y otros juegos de feria.
;;;- Linóleo y otros materiales duros para revestir pisos.
;;;- Joyas de fantasía
;;;- Velas, cirios y artículos similares  pieles y otras partes de aves con plumas o plumón  flores, frutas y plantas artificiales  paracaídas de rotor   tamices manuales  maniquíes de sastre y otros artículos no clasificados en otra parte.
;;;Excluye: La fabricación de mechas para encendedores se incluye en la clase 1930 (Fabricación de otros productos textiles n.c.p.).
;;;La fabricación de empastes dentales y de materiales de sutura esterilizados se incluye en la clase 2600 (Fabricación de productos farmacéuticos y productos botánicos).
;;;La fabricación de abrasivos se incluye en la clase 3099 (Fabricación de otros productos minerales no metálicos n.c.p.)
;;;La fabricación de artículos de metales comunes chapeados con metales preciosos se incluye en la clase pertinente de la división 33 (Fabricación de productos metálicos, excepto maquinarias y equipos).
;;;La fabricación de las cajas de relojes se incluye en la clase 3730 (Fabricación  de relojes).
F;;;SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA 
;;;(División 40-42)
;40;;SUMINISTRO DE ELECTRICIDAD
;;4010;Generación, captación y distribución de energía eléctrica
;;;Esta clase incluye la generación, captación, transmisión y distribución de energía eléctrica para su venta a usuarios residenciales, industriales y comerciales.
;;;La electricidad producida puede ser de origen hidráulico, convencional, solar, nuclear, etc.
;;;Se incluye además en esta clase la producción, captación y distribución de vapor y agua caliente para energía y otros usos.
;41;;SUMINISTRO DE GAS
;;4120;Fabricación y distribución de gas
;;;Esta clase abarca la fabricación de combustibles gaseosos y la producción de gas mediante la destilación del carbón y mediante la mezcla del gas fabricado con gas natural, gases de petróleo y otros gases.
;;;También incluye la distribución de combustibles gaseosos por sistemas de tuberías para su venta a usuarios residenciales, industriales, comerciales y de otro tipo.
;;;Excluye: El transporte de combustibles gaseosos por gasoductos o tuberías, a cambio de una retribución o por contrata, se incluye en la clase 6024 (Transporte por tubería).
;42;;SUMINISTRO DE AGUA
;;4230;Captación, depuración y distribución de agua
;;;Esta clase comprende la captación, depuración y distribución de agua a usuarios residenciales, industriales, comerciales y de otro tipo.
;;;Excluye:   El funcionamiento de sistemas de riego para fines agrícolas se incluye en la clase 0410 (Actividades de servicios relacionados con la agricultura). El tratamiento de aguas residuales para prevenir la contaminación de incluye en la clase 9600 (Eliminación de desperdicios y aguas residuales, saneamiento y similares).
G;;;CONSTRUCCIÓN 
;;;(División 45)
;45;;CONSTRUCCIÓN
;;4510;Preparación del terreno
;;;Esta clase abarca  los trabajos previos a la construcción como son: investigación  de terrenos, la demolición y el derribo de edificios y otras estructuras, la limpieza del terreno de construcción y la venta de materiales procedentes de estructuras demolidas. Se incluyen las actividades de voladura, perforación de prueba, terraplenes, nivelación, movimiento de tierra, excavación, drenaje y demás actividades de preparación del terrero. 
;;;También se incluyen las actividades de construcción de galerías, de remoción del estéril y de otro tipo para preparar y aprovechar terrenos y propiedades mineras, excepto yacimientos de petróleo y gas.
;;;Excluye: Las actividades de preparación de yacimientos de petróleo y gas se incluyen en la división 10 (Extracción de petróleo crudo y de gas natural).
;;4520;Construcción de edificios y obras de ingeniería civil
;;;En esta clase se incluyen actividades corrientes y algunas actividades especiales de empresas de construcción de edificios residenciales o no residenciales y estructuras de ingeniería civil, independientemente del tipo de materiales que se utilicen. Se incluyen las obras nuevas, las ampliaciones y reformas, la erección de estructuras y edificios prefabricados y la construcción de obras de índole temporal.
;;;También se incluye la reparación de obras de ingeniería civil. Las reparaciones de edificios que no constituyen reformas ni ampliaciones completas se incluyen en su mayor parte en las clases 4530 (Acondicionamiento de edificios ) y 4540 (Terminación de edificios ).
;;;Las actividades corrientes de construcción consisten principalmente en la construcción de viviendas, edificios de oficinas, locales de almacenes y otros edificios públicos y de servicios locales agropecuarios, etc. , y en la construcción de obras de ingeniería civil, como carreteras, calles, puentes, túneles, líneas de ferrocarril, campos de aviación, puertos y otros proyectos de ordenamiento hídrico, sistemas de riego, redes de alcantarillado, instalaciones industriales, tuberías y líneas de transmisión de energía eléctrica, instalaciones deportivas, construcciones para la minería, centrales eléctricas y químicas, etc. Estas actividades pueden llevarse a cabo por cuenta propia, a cambio de una retribución o por contrata. La ejecución de partes de obras, y a veces de obras completas puede encomendarse a subcontratistas.
;;;Las actividades de construcción especiales comprenden la preparación y construcción de ciertas partes de las obras antes mencionadas y por lo general se concentran en un aspecto común a diferentes estructuras y requieren la utilización de técnicas y equipos especiales. Se trata de actividades tales como la hincadura de pilotes, la cimentación, la perforación de pozos de agua, la erección de estructuras de edificios, el hormigonado, la colocación de mampuestos de ladrillo y de piedra, la instalación de andamios, la construcción de techos, etc. También se incluye la erección de estructuras de acero, siempre que los componentes de la estructura no sean fabricados por la unidad constructora. Las actividades de construcción especiales se realizan principalmente mediante subcontratas, en particular en el caso de los trabajos de reparación que se realizan directamente para  los propietarios.
;;;Excluye: Las actividades de planificación y diseño paisajistico, de empradizar y enjardinar y de cuidar prados, jardines y árboles se incluyen en la clase 0410 (Actividades de servicios relacionados con la agricultura).
;;;Las actividades de construcción directamente relacionadas con la extracción de petróleo y de gas natural se incluye en la clase 1020 (Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección). Sin embargo, la construcción  de edificios, caminos, etc. en el predio minero se incluye en esta clase (4520).
;;;La erección de estructuras y edificios prefabricados cuyas partes sean de producción propia se incluye en la clase pertinente de industria manufacturera, según el tipo de material más utilizado, excepto cuando dicho material sea el hormigón, en cuyo caso se incluye en esta clase (4520). La erección de estructuras metálicas con partes de producción propia se incluyen en la clase 3311 (Fabricación de productos metálicos para uso estructural).
;;;Las actividades especiales de construcción consistentes en el acondicionamiento y la  terminación (o acabado) de edificios se incluyen en las clases 4530 (Acondicionamiento de edificios) y 4540 (Terminación de edificios) respectivamente. Las actividades de arquitectura e ingeniería y la dirección de las obras de construcción se incluyen en la clase 7120 (Actividades de arquitectura,  ingeniería  y otras actividades técnicas).
;;4530;Acondicionamiento de edificios
;;;Esta clase abarca todas las actividades de instalación necesarias para habilitar los edificios. Dichas actividades suelen realizarse en la obra, aunque ciertas partes de los trabajos pueden llevarse a cabo en un taller especializado. Se incluyen actividades tales como la instalación de cañerías, sistemas de calefacción, aire acondicionado, antenas, sistemas de alarma y otros sistemas eléctricos, sistemas de extinción de incendios mediante aspersores, ascensores y escaleras mecánicas, etc. También se incluyen los trabajos de aislamiento (hídrico, térmico y sonoro ), chapistería, colocación de tuberías para procesos industriales, instalación de sistemas de refrigeración para uso comercial y de sistemas de alumbrado y  señalización para carreteras, ferrocarriles, aeropuertos, puertos, etc. , así como la instalación de centrales de energía eléctrica, transformadores, estaciones de telecomunicaciones y de radar, etc. También se incluyen las reparaciones relacionadas con esas actividades.
;;4540;Terminación de edificios 
;;;Esta clase comprende una gama de actividades que contribuyen a la terminación o acabado de una obra, como por ejemplo instalación de ascensores, los encristalados, revoque, pintura, ornamentación, vestimiento de pisos y paredes con baldosas y azulejos y con otros materiales (como alfombras, papel tapiz para paredes, etc. ), pulimento de pisos, carpintería final, insonorización, limpieza de fachadas, etc. También se incluyen las reparaciones relacionadas con esas actividades.
;;;Excluye:  La instalación de partes y piezas de carpintería de fabricación propia, incluso de carpintería metálica , se incluye en la clase pertinente de industria,  según el tipo de material utilizado  por ejemplo, la instalación de partes y piezas de madera se incluye en la clase 2222 (Fabricación de partes y piezas de carpintería ). La limpieza de ventanas, tanto por dentro como por fuera, y de chimeneas, calderas, interiores, etc. , se incluye en la clase 7290 (Actividades empresariales n.c.p. ).
;;4550;Alquiler de equipos de construcción o demolición
;;;En esta clase se incluye el  alquiler de  maquinaria y  equipo de construcción  o demolición  de edificios o para trabajos  de ingeniería civil con operadores.
;;;Excluye: El alquiler de maquinaria y equipos de construcción sin operarios se incluye en la clase 7420 (Alquiler de otros tipos de maquinarias y equipos).
H;;;COMERCIO  REPARACIÓN DE EFECTOS PERSONALES.
;;;(División 50 - 51)
;50;;VENTA,  MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES  VENTA DE COMBUSTIBLE PARAVEHÍCULOS AUTOMOTORES
;;;En esta división se incluyen  la venta al por mayor y al por menor de vehículos automotores, motocicletas  nuevas y usadas, así como su mantenimiento y reparación  la venta de partes, piezas y accesorios de vehículos  las actividades de los agentes de venta de vehículos en comisión  el lavado, lustrado y remolque de vehículos, etc.  También se incluye la venta al por menor de combustible para automotores y de productos de lubricación y refrigeración.
;;;Excluye: El alquiler de automóviles privados  y  el  de camiones con conductor se incluyen en  las clases  6022 (Otros tipos de transporte no regular de pasajeros por vía terrestre) y 6023 (Transporte de carga por carretera), respectivamente.
;;;El alquiler de vehículos automotores, motocicletas sin conductor se incluye en la clase 7410 (Alquiler de equipo de transporte).
;;5010;Venta de vehículos automotores
;;;Esta clase incluye la venta al por mayor y al por menor de vehículos automotores de pasajeros, incluso vehículos especiales (ambulancias, microbuses, etc.), vehículos para todo terreno (jeep, land-rovers, etc.) y otros vehículos automotores de pasajeros con mecanismos de conducción similar a los de los automóviles, así como la venta de camiones, remolques y semirremolques.
;;5030;Ventas de partes, piezas y accesorios de vehículos automotores
;;;En esta clase se incluye la venta al por mayor y al por menor de todo tipo de partes, piezas y accesorios para vehículos automotores realizada independientemente de la venta de los propios vehículos.
;;5040;Mantenimiento   y    reparación   de  vehículos   automotores   y motocicletas
;;;En esta clase se incluyen la venta al por mayor y al por menor de motocicletas, sus partes, piezas y accesorios. También se incluyen las actividades de mantenimiento y reparación, incluso lavado, lustración, etc. de vehículos automotores y motocicletas.
;;5050;Venta al por menor de combustible para automóviles
;;;Esta clase abarca la venta al por menor de combustible (carburantes, gasolina, gas licuado de petróleo) para vehículos automotores y motocicletas, y para embarcaciones.
;;;Esta actividad suele combinarse con la venta de lubricantes, refrigerantes y productos de limpieza y de todo tipo para vehículos automotores e incluso para otros usos, como por ejemplo el queroseno. No obstante, si la principal actividad es la venta de combustible y de lubricantes para automotores, esos productos deben incluirse en esta clase.
;;;Excluye:   La venta al por mayor de combustible se incluye en la clase 5141 (Venta mayorista de combustibles y de productos conexos). La venta al por menor se gas licuado de petróleo para usos de cocina se incluye en la clase 5335 (Venta minorista de otros productos n.c.p.).
;51;;COMERCIO  MAYORISTA  Y  EN  COMISIÓN 
;;;En esta división se incluye la reventa (venta sin transformación) de productos nuevos o usados a minoristas, usuarios industriales, comerciales, institucionales o profesionales  a otros mayoristas  y a quienes actúan en calidad de agente o corredor en la compra o venta de mercancías en nombre de dichas personas o empresas. Los principales tipos de empresas abarcadas son las firmas de mayoristas comerciales, a saber, mayoristas que adquieren propiedad de las mercancías para comercializarlas, como revendedores e intermediarios al por mayor, distribuidores industriales, exportadores, importadores, empresas de ensilado de granos, cooperativas de compra y sucursales y oficinas de venta (pero no los almacenes de venta al por menor) que son mantenidas por unidades  manufactureras o mineras como entidades separadas de la fábrica o mina propiamente dicha para que comercialicen sus productos y que no se limiten a tomar pedidos de tales productos para su envío directo desde la fábrica o mina. También se incluyen los corredores de mercancías y productos básicos, los comisionistas, agentes, recolectores y compradores, y las cooperativas de comercialización de productos agropecuarios.
;;;Con frecuencia los mayoristas agrupan, seleccionan y clasifican las mercancías en grandes lotes, que luego fraccionan para reenvasarlas y distribuirlas en lotes más pequeños (el caso, por ejemplo, de los productos farmacéuticos)  almacenar, refrigerar, entregar e instalar las mercancías  y se encargan de promover las ventas de sus clientes y de diseñar las etiquetas.
;;;Excluye: La venta al por mayor de vehículos automotores y motocicletas se incluye en las clases 5010 (Venta de vehículos automotores) y 5040 (Mantenimiento y reparación de vehículos automotores), respectivamente.  
;;;Las actividades de agentes y corredores especializados  en contratos a términos (o futuros) de productos básicos y de las bolsas de concertación de esos contratos se incluyen en la clase pertinente de la división 67 (Actividades auxiliares de la intermediación financiera).
;;5110;Venta al por mayor a cambio de una retribución o por contrata
;;;En esta clase se incluyen las actividades de comisionistas, corredores de productos básicos, subastadores y otros mayoristas que comercian en nombre y por cuenta de terceros y que,  por lo general, ponen en contacto a vendedores y compradores y realizan transacciones comerciales en nombre de un principal.
;;;Excluye: Las actividades de venta en comisión de vehículos automotores y motocicletas se clasifican en la división 50 (Venta, mantenimiento y reparación de vehículos automotores  venta de combustible para vehículos automotores).
;;;El comercio al por mayor en nombre propio, sea por cuenta propia o por terceros, se incluye en la división 51 (Comercio mayorista y en comisión).
;;;Las actividades de agentes y corredores especializados en contratos a término ( o futuros) de productos básicos y de las bolsas de concertación de esos contratos se incluyen en la clase pertinente en la división 65 (Intermediación financiera, excepto la financiación de planes de seguros y de pensiones).
;;;Las actividades de los corredores de seguros se incluyen en la clase 6720 (Actividades auxiliares de la financiación de planes de seguros).
;;;Las actividades de los agentes de bienes raíces se incluyen en la división 73 (Actividades inmobiliarias).
;;5120;Venta mayorista de productos agropecuarios
;;;En esta clase se incluye la venta al por mayor de materias primas agrícolas, animales vivos, pieles y cueros  de  granos, semillas y frutas oleaginosas  alimento para animales   flores y plantas, tabaco en bruto,   etc.
;;5121;Venta mayorista de alimentos
;;;Esta clase incluye la venta al por mayor de frutas y verduras, productos lácteos, huevos, aceites y grasas comestibles, carne, productos de la pesca, azúcar, productos de confitería y panadería, café, té, cacao, especias, etc.
;;5122;Venta mayorista de bebidas y tabaco 
;;;Se incluye en esta clase la venta al por mayor de bebidas y productos del tabaco.
;;;Incluye el embotellado y etiquetado de bebidas alcohólicas destiladas, de vinos, de bebidas malteadas y de agua ordinaria (agua de grifo) si se realiza como parte de la compra y venta al por mayor.
;;5123;Venta mayorista de productos textiles, prendas de vestir y calzado
;;;En esta clase se incluye la venta al por mayor de productos textiles, ropa blanca, prendas de vestir, artículos de piel, calzado y accesorios para las prendas de vestir.
;;5131;Venta mayorista de otros enseres domésticos
;;;Esta clase incluye la venta al por mayor de artículos de perfumería, cosméticos, jabones, joyería, juegos, juguetes y productos diversos para el consumidor, como por ejemplo, papel y cartón, libros y revistas, periódicos, y útiles de escritorio, artículos fotográficos y ópticos, relojes, artículos deportivos (incluso bicicletas) y productos de limpieza.
;;;Además esta clase comprende la venta al por mayor de aparatos, artículos y equipos de uso doméstico. Por ejemplo, muebles, artefactos, cubiertos, artículos de iluminación, aparatos de radio y televisión, cristalería, utensilios de madera, papel tapiz para paredes y artículos para recubrir pisos, artículos de cuero y accesorios de viaje, etc.
;;5132;Venta    mayorista    de    medicamentos,     artículos    médicos  y ortopédicos
;;;Esta clase abarca la venta al por mayor de productos farmacéuticos y medicinales, instrumentos y dispositivos quirúrgicos y ortopédicos
;;5141;Venta mayorista de combustibles y de productos conexos
;;;En esta clase se incluye la venta al por mayor de combustibles sólidos, líquidos y gaseosos y de productos conexos.
;;5142;Venta mayorista de metales y de minerales metalíferos
;;;Esta clase incluye la venta al  por mayor de minerales metalíferos y de metales en forma primaria, y formas resultantes de la molienda.
;;5143;Venta mayorista de materiales de construcción y  artículos de  ferretería
;;;En esta clase se incluye la venta al por mayor de madera no trabajada y de productos resultantes de la elaboración primaria de la madera, así como la venta de pinturas, barnices y lacas, materiales de construcción, piezas y accesorios, y vidrio plano.
;;5149;Venta   mayorista   de    otras   materias  primas   y  productos de  recuperación
;;;Esta clase abarca la venta al por mayor de productos  químicos industriales  básicos, abonos y resinas sintéticas  y materiales plásticos en formas primarias, fibras textiles, desperdicios y desechos, materiales para  reciclar y productos intermedios distintos de productos agrícolas n.c.p.
;;5150;Venta mayorista de maquinarias, equipos y materiales
;;;En esta clase se incluye la venta al por mayor de productos tales como maquinaria y equipos agrícolas, equipos de transporte (excepto vehículos automotores, motocicletas y bicicletas), maquinaria y equipo de minería, construcción y de ingeniería civil, maquinarias y equipos de oficina, maquinaria y equipos para las industrias textil, de la madera, metalúrgica, etc., así como la  venta al por mayor de materiales conexos.
;;5190;Venta mayorista de otros productos
;;;En esta clase se incluyen la venta al por mayor especializada de productos no abarcados en ninguna de las clases anteriores y la venta al por mayor de una variedad de productos que no reflejan una especialización particular.
;53;;COMERCIO  MINORISTA  REPARACIÓN  DE  EFECTOS  PERSONALES Y ENSERES DOMÉSTICOS
;;;En esta división se incluye la reventa  (venta sin transformación) por tiendas, grandes almacenes, casas comisionistas, etc., de productos nuevos y usados al público en general para su consumo y uso personal o doméstico.  La mayoría de los minoristas adquieren propiedad de las mercancías que venden, pero algunos actúan en calidad de agentes de un principal y venden dichas mercancías en consignación o en comisión. 
;;;En esta división se clasifican los establecimientos que venden al público en general mercancías a la vista, tales como máquinas de escribir, útiles de escritorio, pinturas y madera, aunque esas mercancías no estén destinadas exclusivamente al consumo o al uso personal o doméstico.
;;;Por razones evidentes, las mercancías cuya venta se incluye en esta división se limitan a los denominados bienes de consumo. Por lo tanto, como ejemplos de mercancías que normalmente no forman parte del comercio al por menor se pueden mencionar los cereales, granos y minerales, el petróleo crudo, las sustancias químicas para uso industrial,  hierro,  el acero, la maquinaria y equipo industrial.
;;;En algunos casos, las mercancías pueden ser objeto de cierta elaboración, pero esta elaboración debe tener lugar sólo a los efectos de la venta.
;;;En esta división también se incluyen la reparación e instalación de efectos personales y enseres domésticos, estén o no combinadas con la venta al por menor.
;;;Excluye: La venta de productos agropecuarios por los propios campesinos se clasifica en la sección A (Agricultura, Ganadería, Caza y Silvicultura), excepto la clase 0430 (Servicios veterinarios).
;;;La fabricación y venta al público en general de bienes de consumo personal y doméstico, como  alimentos y cortinas, por lo general se considera que forma parte de las actividades de elaboración o fabricación, que se incluyen en la sección E Industrias manufactureras (excepto Industria azucarera), aunque podría considerarse que ese tipo de fabricación depende de la venta.
;;;La venta de vehículos automotores, motocicletas y de sus partes y piezas, así como de combustible para automotores, se clasifica en la división 50 (Venta, mantenimiento y reparación de vehículos automotores, venta de combustible para vehículos automotores) 
;;;La venta de vehículos automotores y de otros productos exclusivamente a usuarios institucionales e industriales se clasifican en las divisiones 50 y 51 (Venta, mantenimiento y reparación de vehículos automotores  venta de combustible y Comercio mayorista y en comisión), respectivamente.
;;;La venta de alimentos y bebidas para su consumo en el lugar de venta se incluye en la clase 5610 (Restaurantes, cafeterías y comedores).
;;;El alquiler de efectos personales y enseres domésticos al público en general se incluye en  la clase 7430 (Alquiler de efectos personales y enseres domésticos n.c.p.)
;;5311;Venta minorista de alimentos, bebidas y tabaco
;;;Esta clase incluye los almacenes de venta al por menor de una gama de productos nuevos compuesta principalmente de alimentos, bebidas y tabaco. Suelen realizar este tipo de actividad los denominados almacenes generales, cuya principal actividad es la venta de víveres, pero que además venden otras clases de mercancías, como prendas de vestir, muebles, aparatos de uso doméstico, artículos de ferretería, cosméticos, etc.
;;;También se incluye en esta clase los almacenes especializados en la venta al por menor de cualquiera de los siguientes tipos de productos:
;;;- Frutas y verduras frescas 
;;;- Productos lácteos y huevos 
;;;- Carne (incluso aves de corral) y productos cárnicos 
;;;- Pescado, mariscos y productos conexos 
;;;- Productos de panadería 
;;;- Productos de confitería 
;;;- Bebidas de consumo fuera del lugar de venta 
;;;- Productos del tabaco 
;;;- Productos alimenticios no clasificados en otra parte.
;;5330;Venta minorista de productos textiles, prendas de vestir y calzado
;;;Esta clase incluye el comercio especializado al por menor de productos textiles, prendas de vestir, artículos de piel y accesorios para prendas de vestir  calzado  artículos de cuero y accesorios de viaje. 
;;5331;Venta minorista de productos farmacéuticos y medicinales
;;;En esta clase se incluye el comercio especializado al por menor de productos farmacéuticos, medicinales y ortopédicos.
;;5332;Venta minorista de aparatos, artículos y equipos de uso doméstico
